catalog_event_id,begin,end,origin,duration_hours,nearest_other_catalog_gap_hours,isolated_at_48_hours,lstm_static_catalog_coverage,lstm_saocp_catalog_coverage,lstm_coverage_gain,lstm_unrelated_events_in_display,cnn_lstm_static_catalog_coverage,cnn_lstm_saocp_catalog_coverage,cnn_lstm_coverage_gain,cnn_lstm_unrelated_events_in_display,unet_static_catalog_coverage,unet_saocp_catalog_coverage,unet_coverage_gain,unet_unrelated_events_in_display,runet_static_catalog_coverage,runet_saocp_catalog_coverage,runet_coverage_gain,runet_unrelated_events_in_display,minimum_saocp_catalog_coverage,minimum_coverage_gain,mean_coverage_gain,all_saocp_coverages_at_least_0_5,all_saocp_coverages_improve,unrelated_display_events_total,clean_fixed_12h_display,eligible_before_display_filter,eligible,selection_rank,selected
176,2014-05-04 23:00:00,2014-05-05 20:06:00,FP,21.1,103,True,0.1591787388,0.2939152054,0.1347364666,0,0.328887862,0.2862004476,-0.04268741443,0,0.1178293707,0.5592416535,0.4414122828,0,0.1009321222,0.3249345445,0.2240024223,0,0.2862004476,-0.04268741443,0.1893659393,False,False,0,True,False,False,,False
177,2014-05-30 13:00:00,2014-06-01 06:43:00,FP,41.71666667,180.4833333,True,0.8507817952,0.9626915701,0.1119097749,0,0.98125004,0.9826137368,0.001363696897,0,0.2562707751,0.9740518777,0.7177811027,0,0.252308623,0.9740931149,0.7217844919,0,0.9626915701,0.001363696897,0.3882097666,True,True,0,True,True,True,4,False
178,2014-06-08 19:12:00,2014-06-10 16:47:00,Chinchilla,45.58333333,180.4833333,True,1,0.7486962279,-0.2513037721,0,0.4062998172,0.09839369896,-0.3079061182,0,0.2164376234,0.887299543,0.6708619196,0,0.4109350274,0.7216761487,0.3107411213,0,0.09839369896,-0.3079061182,0.1055982876,False,False,0,True,False,False,,False
179,2014-06-22 17:46:00,2014-06-23 22:18:00,Chinchilla,28.53333333,142.4666667,True,0,0,0,0,0,0,0,0,0,0.3425232671,0.3425232671,0,0,0,0,0,0,0,0.08563081678,False,False,0,True,False,False,,False
180,2014-06-29 20:46:00,2014-06-30 11:16:00,Chinchilla,14.5,63.85,True,0.420895,0.7605993295,0.3397043295,0,0.5397109579,0.7340451341,0.1943341762,0,0.1093138889,0.6586311877,0.5493172989,0,0,0.6078555172,0.6078555172,0,0.6078555172,0.1943341762,0.4228028305,True,True,0,True,True,True,1,True
181,2014-07-03 03:07:00,2014-07-03 11:26:00,Chinchilla,8.316666667,63.85,True,0,0.1614216767,0.1614216767,0,0,0,0,0,0,0.3259009686,0.3259009686,0,0,0.1830097528,0.1830097528,0,0,0,0.1675830995,False,False,0,True,False,False,,False
182,2014-07-13 09:54:00,2014-07-14 09:00:00,FP,23.1,10.76666667,False,0.9597242304,0.9419719937,-0.01775223665,0,0.9670926647,0.8861805435,-0.08091212121,0,0.9324172318,0.9631607624,0.03074353054,0,0.9170640091,0.9670926647,0.0500286556,0,0.8861805435,-0.08091212121,-0.004473042929,True,False,0,True,False,False,,False
183,2014-07-14 19:46:00,2014-07-15 00:11:00,FP,4.416666667,10.76666667,False,0,0,0,2,0.5476724528,0,-0.5476724528,1,0,0,0,2,0,0,0,2,0,-0.5476724528,-0.1369181132,False,False,7,False,False,False,,False
184,2014-08-10 09:50:00,2014-08-10 19:06:00,FP,9.266666667,214.3833333,True,0.543294964,0.1626302158,-0.3806647482,0,0.9128695444,0.4371600719,-0.4757094724,0,0.8889557254,0.5760347422,-0.3129209832,0,0.5256877998,0.7206295863,0.1949417866,0,0.1626302158,-0.4757094724,-0.2435883543,False,False,0,True,False,False,,False
185,2014-08-19 17:29:00,2014-08-21 18:51:00,Chinchilla,49.36666667,66.4,True,0.7314840423,0.9705023183,0.2390182759,0,0.804128905,0.9688744261,0.164745521,0,0.6616423138,0.9494437092,0.2878013955,0,0.6610876772,0.8229985877,0.1619109104,0,0.8229985877,0.1619109104,0.2133690257,True,True,0,True,True,True,2,False
